Time/us,Current/uA
-902.9,-2.4186808510638302
-902.0000000000001,-2.3723009118541034
-901.1,-2.673765957446808
-900.2,-2.441869300911854
-899.2,-2.0244559270516724
-898.3,-2.349112462006079
-897.4,-2.465060790273556
-896.4999999999999,-2.9288541033434647
-895.6,-2.465060790273556
-894.6000000000001,-2.2099726443769
-893.7,-1.862127659574468
-892.8,-2.047647416413374
-891.9,-2.6273860182370825
-890.9999999999999,-2.1867841945288755
-890.0,-2.0244559270516724
-889.0999999999999,-2.163595744680851
-888.2,-2.1867841945288755
-887.3,-2.859282674772036
-886.4000000000001,-2.325920972644377
-885.4,-2.2099726443769
-884.5,-2.047647416413374
-883.6,-2.511437689969605
-882.7000000000002,-2.5578176291793313
-881.8,-2.3723009118541034
-880.8,-2.302732522796352
-879.9000000000001,-1.954887537993921
-879.0000000000001,-2.6273860182370825
-878.1,-2.7897142857142856
-877.1999999999999,-2.3723009118541034
-876.2,-2.2331641337386023
-875.3,-2.163595744680851
-874.3999999999999,-2.256352583586626
-873.5000000000001,-2.465060790273556
-872.6,-2.1172158054711243
-871.6,-2.6969574468085105
-870.7,-1.954887537993921
-869.8,-2.256352583586626
-868.8999999999999,-2.465060790273556
-868.0000000000001,-2.534629179331307
-866.9999999999999,-2.325920972644377
-866.1,-2.0244559270516724
-865.2,-2.2331641337386023
-864.3,-2.6273860182370825
-863.3999999999999,-2.604197568389058
-862.4,-2.4186808510638302
-861.4999999999999,-1.9780759878419454
-860.6,-2.465060790273556
-859.7,-2.3723009118541034
-858.8000000000001,-2.511437689969605
-857.7999999999998,-2.4186808510638302
-856.9,-2.047647416413374
-856.0,-2.27954103343465
-855.1,-2.325920972644377
-854.2000000000002,-2.465060790273556
-853.2000000000002,-2.465060790273556
-852.3,-1.6534224924012157
-851.4000000000001,-2.1172158054711243
-850.5,-2.1404042553191487
-849.6,-2.812905775075988
-848.6,-1.9780759878419454
-847.6999999999999,-2.1404042553191487
-846.8,-2.3723009118541034
-845.8999999999999,-2.1867841945288755
-845.0,-2.766525835866261
-844.0000000000001,-2.2331641337386023
-843.1,-2.1172158054711243
-842.1999999999999,-2.349112462006079
-841.3,-2.349112462006079
-840.3999999999999,-2.604197568389058
-839.4,-2.349112462006079
-838.4999999999999,-1.838939209726444
-837.6,-2.441869300911854
-836.6999999999999,-2.534629179331307
-835.8,-2.7897142857142856
-834.8,-2.27954103343465
-833.9,-1.9316990881458966
-832.9999999999999,-2.047647416413374
-832.1,-2.2099726443769
-831.2,-2.604197568389058
-830.2,-2.256352583586626
-829.3,-2.1867841945288755
-828.4000000000001,-2.302732522796352
-827.5,-2.0244559270516724
-826.5999999999999,-3.1607598784194524
-825.6,-2.256352583586626
-824.7000000000002,-2.163595744680851
-823.8,-2.1867841945288755
-822.9000000000001,-2.1867841945288755
-822.0,-2.766525835866261
-821.0,-2.48824924012158
-820.1,-2.325920972644377
