Time/us,Current/uA
-559.0,-1.6766109422492401
-558.4,-1.2128176291793313
-557.9,-1.6070425531914894
-557.3,-1.6302310030395133
-556.7999999999998,-1.6070425531914894
-556.2,-1.6766109422492401
-555.6,-1.6302310030395133
-555.1,-1.6070425531914894
-554.5,-1.5142826747720366
-553.9999999999999,-1.28238905775076
-553.4,-1.305577507598784
-552.8,-1.4447142857142856
-552.3,-1.3519574468085107
-551.7,-1.6302310030395133
-551.1999999999999,-1.491094224924012
-550.5999999999999,-1.491094224924012
-550.0,-1.5142826747720366
-549.5,-1.4447142857142856
-548.9,-1.3519574468085107
-548.4,-1.7229908814589667
-547.8,-1.491094224924012
-547.2,-1.4447142857142856
-546.7,-1.7229908814589667
-546.1,-1.3287659574468087
-545.6,-0.8417841945288754
-545.0,-2.4186808510638302
-544.4,-1.6302310030395133
-543.9,-1.5838541033434652
-543.3,-1.4447142857142856
-542.8,-1.491094224924012
-542.2,-1.6302310030395133
-541.5999999999999,-1.2591975683890577
-541.1,-1.28238905775076
-540.5,-1.3287659574468087
-540.0,-0.9113525835866261
-539.4,-1.1200607902735562
-538.8,-1.3751458966565349
-538.3,-1.3983343465045592
-537.7,-1.5606626139817632
-537.2,-1.4447142857142856
-536.6,-1.5838541033434652
-536.0,-1.3519574468085107
-535.5,-0.9345440729483282
-534.9,-1.1200607902735562
-534.4,-0.6562674772036474
-533.8,-2.163595744680851
-533.2,-1.1664407294832828
-532.7,-1.8853191489361703
-532.1,-1.2128176291793313
-531.6,-1.3287659574468087
-531.0,-1.3519574468085107
-530.4,-1.0273009118541032
-529.9000000000001,-1.4447142857142856
-529.3000000000001,-1.1432492401215806
-528.7999999999998,-1.28238905775076
-528.2,-1.5374741641337388
-527.6,-1.6534224924012157
-527.1000000000001,-1.28238905775076
-526.5000000000001,-1.5838541033434652
-525.9999999999999,-1.3287659574468087
-525.3999999999999,-1.4215258358662612
-524.7999999999998,-1.5142826747720366
-524.3,-1.4679057750759879
-523.7000000000002,-1.9780759878419454
-523.2,-0.2852328267477204
-522.6,-2.998422492401216
-522.0,-1.6302310030395133
-521.5,-1.3983343465045592
-520.9,-1.6302310030395133
-520.4,-1.4447142857142856
-519.8,-1.6302310030395133
-519.2,-1.5142826747720366
-518.7,-1.954887537993921
-518.1,-1.6302310030395133
-517.6,-1.8157507598784193
-517.0,-1.7229908814589667
-516.4,-1.5142826747720366
-515.9,-1.7229908814589667
-515.3,-1.8853191489361703
-514.8,-1.6302310030395133
-514.2,-2.047647416413374
-513.6,-1.9780759878419454
-513.1,-1.9316990881458966
-512.5,-1.5838541033434652
-512.0,-1.7229908814589667
-511.4,-1.862127659574468
-510.80000000000007,-1.5838541033434652
-510.3,-1.7925592705167173
-509.7,-1.838939209726444
-509.20000000000005,-1.9780759878419454
-508.6,-1.8853191489361703
-508.0,-1.7925592705167173
-507.49999999999994,-1.7229908814589667
-506.8999999999999,-1.746179331306991
-506.4,-1.746179331306991
-505.80000000000007,-1.7693708206686931
-505.20000000000005,-1.8157507598784193
-504.7,-2.047647416413374
-504.09999999999997,-1.9780759878419454
-503.6,-1.8853191489361703
-503.0,-2.047647416413374
-502.4,-1.6302310030395133
-501.90000000000003,-1.8157507598784193
-501.3,-1.862127659574468
-500.79999999999995,-1.5606626139817632
-500.19999999999993,-2.1867841945288755
-499.6,-1.8157507598784193
-499.1000000000001,-1.8157507598784193
-498.50000000000006,-1.6766109422492401
-498.0,-1.4447142857142856
-497.4,-1.9316990881458966
-496.79999999999995,-1.7925592705167173
-496.3,-1.5606626139817632
-495.7,-1.862127659574468
-495.20000000000005,-1.6302310030395133
-494.6,-1.6766109422492401
-494.0,-1.6302310030395133
-493.50000000000006,-1.4215258358662612
-492.90000000000003,-1.9085075987841946
-492.4000000000001,-1.9316990881458966
-491.79999999999995,-1.862127659574468
-491.19999999999993,-1.838939209726444
-490.7,-2.070835866261398
-490.1000000000001,-1.7925592705167173
-489.6000000000001,-1.838939209726444
-489.0,-1.6302310030395133
-488.4,-1.0504924012158054
-487.8999999999999,-1.838939209726444
-487.3,-1.5606626139817632
-486.8,-1.7229908814589667
-486.2,-2.1404042553191487
-485.6000000000001,-1.5142826747720366
-485.1000000000001,-1.5606626139817632
-484.50000000000006,-1.746179331306991
-483.99999999999994,-1.2360091185410331
-483.4,-1.7693708206686931
-482.8,-1.5374741641337388
-482.3,-1.4679057750759879
-481.7,-2.1172158054711243
-481.2,-1.28238905775076
-480.6,-1.6070425531914894
-480.0,-1.5142826747720366
-479.49999999999994,-1.0736808510638298
-478.9,-1.1664407294832828
-478.3999999999999,-1.28238905775076
-477.8,-1.5606626139817632
-477.20000000000005,-1.3519574468085107
-476.7,-1.6998024316109424
-476.1,-1.5142826747720366
-475.59999999999997,-1.5142826747720366
-474.99999999999994,-1.3751458966565349
-474.4,-1.3983343465045592
-473.8999999999999,-1.6070425531914894
-473.3,-1.6302310030395133
-472.8,-1.6070425531914894
-472.2,-1.862127659574468
-471.6,-1.6070425531914894
-471.09999999999997,-1.5374741641337388
-470.49999999999994,-1.4215258358662612
-470.0,-1.0736808510638298
-469.4,-1.3751458966565349
-468.8,-1.6534224924012157
-468.30000000000007,-1.5374741641337388
-467.7,-1.7693708206686931
-467.19999999999993,-1.7229908814589667
-466.6,-1.6998024316109424
-465.99999999999994,-1.4447142857142856
-465.5,-1.1200607902735562
-464.9,-1.491094224924012
-464.4,-1.3519574468085107
-463.79999999999995,-1.746179331306991
-463.19999999999993,-1.8853191489361703
-462.69999999999993,-1.862127659574468
-462.1,-1.8853191489361703
-461.6,-1.7229908814589667
-461.0,-1.5374741641337388
-460.4,-1.3287659574468087
-459.9,-1.6766109422492401
-459.29999999999995,-1.746179331306991
-458.8,-1.6766109422492401
-458.19999999999993,-2.2331641337386023
-457.6,-1.6766109422492401
-457.1,-1.7693708206686931
-456.5,-1.9085075987841946
-456.00000000000006,-1.4215258358662612
-455.4,-1.9316990881458966
-454.79999999999995,-1.6302310030395133
-454.3,-2.0012674772036476
-453.7,-2.163595744680851
-453.2,-1.746179331306991
-452.6,-1.862127659574468
-452.0,-1.5374741641337388
-451.50000000000006,-1.3287659574468087
-450.90000000000003,-1.491094224924012
-450.3999999999999,-1.7693708206686931
-449.8,-1.6998024316109424
-449.2,-1.954887537993921
-448.7,-1.862127659574468
-448.1000000000001,-1.6998024316109424
-447.6000000000001,-1.5606626139817632
-447.00000000000006,-1.6070425531914894
-446.40000000000003,-1.6998024316109424
-445.9,-1.838939209726444
-445.3,-1.9780759878419454
-444.8,-1.4679057750759879
-444.2,-2.3723009118541034
-443.6000000000001,-1.6534224924012157
-443.1,-1.3751458966565349
-442.49999999999994,-2.070835866261398
-442.0,-1.0736808510638298
-441.4,-1.838939209726444
-440.8,-1.9316990881458966
-440.30000000000007,-1.862127659574468
-439.7,-2.047647416413374
-439.20000000000005,-1.9316990881458966
-438.6,-1.7925592705167173
-438.0,-1.6070425531914894
-437.5,-1.5606626139817632
-436.9,-1.746179331306991
-436.4,-1.862127659574468
-435.80000000000007,-1.7925592705167173
-435.20000000000005,-2.047647416413374
-434.70000000000005,-2.0244559270516724
-434.1,-1.838939209726444
-433.59999999999997,-1.8157507598784193
-433.0,-1.8853191489361703
-432.4,-1.2128176291793313
-431.9,-2.0244559270516724
-431.30000000000007,-1.6302310030395133
-430.8,-1.8157507598784193
-430.20000000000005,-2.1867841945288755
-429.6,-2.0244559270516724
-429.09999999999997,-1.7925592705167173
-428.5,-2.0940243161094223
-428.0,-1.3287659574468087
-427.4,-2.047647416413374
-426.80000000000007,-1.9316990881458966
-426.29999999999995,-2.1867841945288755
-425.7,-2.256352583586626
-425.19999999999993,-1.862127659574468
-424.6,-1.838939209726444
-424.0,-1.8853191489361703
-423.5,-1.5838541033434652
-422.9,-1.7693708206686931
-422.4,-1.9316990881458966
-421.79999999999995,-1.7229908814589667
-421.2,-2.1867841945288755
-420.69999999999993,-2.0012674772036476
-420.1,-1.9316990881458966
-419.6,-2.1404042553191487
-419.0,-1.8157507598784193
-418.4,-1.6766109422492401
-417.9,-1.6998024316109424
-417.29999999999995,-1.8157507598784193
-416.8,-1.9316990881458966
-416.19999999999993,-2.325920972644377
-415.6,-2.1172158054711243
-415.1,-1.7925592705167173
-414.5,-1.7925592705167173
-414.00000000000006,-1.4679057750759879
-413.4,-1.6998024316109424
-412.79999999999995,-1.746179331306991
-412.3,-1.746179331306991
-411.7,-2.1404042553191487
-411.2,-2.1404042553191487
-410.6,-1.7693708206686931
-410.0,-2.0012674772036476
-409.50000000000006,-1.6998024316109424
-408.90000000000003,-1.838939209726444
-408.3999999999999,-1.954887537993921
-407.8,-1.8157507598784193
-407.2,-2.0244559270516724
-406.7,-1.838939209726444
-406.1000000000001,-1.838939209726444
-405.59999999999997,-1.6302310030395133
-404.99999999999994,-1.491094224924012
-404.3999999999999,-1.4679057750759879
-403.9,-1.838939209726444
-403.3,-1.7693708206686931
-402.8,-1.746179331306991
-402.2,-2.1404042553191487
-401.59999999999997,-1.746179331306991
-401.1,-1.862127659574468
-400.49999999999994,-1.6998024316109424
-400.0,-1.4447142857142856
-399.4,-1.6998024316109424
-398.8,-2.2331641337386023
-398.30000000000007,-1.4215258358662612
-397.7,-2.1404042553191487
-397.2,-1.8853191489361703
-396.6000000000001,-1.7229908814589667
-396.0,-1.6070425531914894
-395.5,-1.3519574468085107
-394.9,-1.6070425531914894
-394.4,-1.8853191489361703
-393.8,-1.8157507598784193
-393.2,-1.6534224924012157
-392.7,-1.9780759878419454
-392.1,-1.862127659574468
-391.6,-1.7693708206686931
-391.0,-1.6302310030395133
-390.4,-1.6998024316109424
-389.9,-1.7925592705167173
-389.3,-1.7229908814589667
-388.8,-1.7229908814589667
-388.2,-2.0940243161094223
-387.6,-1.862127659574468
-387.1,-1.5142826747720366
-386.5,-1.6998024316109424
-386.00000000000006,-1.28238905775076
-385.40000000000003,-1.7925592705167173
-384.8,-1.7693708206686931
-384.30000000000007,-1.954887537993921
-383.7,-1.954887537993921
-383.2,-1.8157507598784193
-382.6000000000001,-1.6766109422492401
-382.0,-1.5374741641337388
-381.5,-1.5142826747720366
-380.90000000000003,-1.862127659574468
-380.3999999999999,-1.5838541033434652
-379.80000000000007,-1.6998024316109424
-379.20000000000005,-1.8157507598784193
-378.69999999999993,-1.9316990881458966
-378.1000000000001,-1.5142826747720366
-377.59999999999997,-1.838939209726444
-377.0,-1.7925592705167173
-376.4,-1.7925592705167173
-375.8999999999999,-1.5606626139817632
-375.3,-1.6302310030395133
-374.8,-1.8853191489361703
-374.19999999999993,-2.1172158054711243
-373.6000000000001,-1.9085075987841946
-373.09999999999997,-1.6766109422492401
-372.49999999999994,-1.5142826747720366
-372.0,-1.5374741641337388
-371.4,-1.6070425531914894
-370.8,-1.746179331306991
-370.3,-1.6070425531914894
-369.7,-1.7925592705167173
-369.2,-1.3983343465045592
-368.6,-1.5838541033434652
-367.99999999999994,-1.2360091185410331
-367.5,-1.1896291793313072
-366.9,-1.3519574468085107
-366.4,-1.5838541033434652
-365.8,-1.7693708206686931
-365.2,-1.838939209726444
-364.7,-1.4215258358662612
-364.1,-1.5374741641337388
-363.6,-1.305577507598784
-363.0,-1.4679057750759879
-362.4,-1.28238905775076
-361.8999999999999,-1.6766109422492401
-361.3,-1.5838541033434652
-360.8,-1.3287659574468087
-360.2,-1.7229908814589667
-359.6,-1.3751458966565349
-359.1,-1.3751458966565349
-358.5,-1.491094224924012
-358.0,-1.3287659574468087
-357.4,-1.28238905775076
-356.8,-1.7229908814589667
-356.3,-1.6070425531914894
-355.7,-1.7693708206686931
-355.2,-1.6302310030395133
-354.6,-1.3519574468085107
-353.99999999999994,-1.9780759878419454
-353.5,-1.3983343465045592
-352.9,-1.3287659574468087
-352.4,-1.4215258358662612
-351.8,-1.3519574468085107
-351.2,-1.6070425531914894
-350.7,-1.4215258358662612
-350.1,-1.491094224924012
-349.6,-1.1896291793313072
-349.0,-1.5142826747720366
-348.4,-1.1896291793313072
-347.9,-1.5606626139817632
-347.3,-1.9085075987841946
-346.8,-1.6070425531914894
-346.2,-1.7693708206686931
-345.6,-1.4215258358662612
-345.1,-1.6534224924012157
-344.5,-1.3751458966565349
-344.00000000000006,-1.1432492401215806
-343.4,-1.3751458966565349
-342.8,-1.9316990881458966
-342.30000000000007,-1.0273009118541032
-341.7,-1.5142826747720366
-341.2,-1.1432492401215806
-340.6000000000001,-1.5142826747720366
-340.0,-1.4679057750759879
-339.5,-1.3287659574468087
-338.9,-1.4215258358662612
-338.4,-1.28238905775076
-337.8,-1.1896291793313072
-337.2,-1.4215258358662612
-336.7,-1.5374741641337388
-336.1000000000001,-1.3287659574468087
-335.6,-1.5606626139817632
-335.0,-1.3983343465045592
-334.4,-1.3983343465045592
-333.9,-1.5142826747720366
-333.3,-1.3751458966565349
-332.79999999999995,-1.4679057750759879
-332.2,-1.9780759878419454
-331.6,-1.2360091185410331
-331.1,-1.7229908814589667
-330.5,-1.1200607902735562
-330.0,-1.0968693009118542
-329.40000000000003,-1.28238905775076
-328.8,-1.491094224924012
-328.3,-1.5374741641337388
-327.7,-1.5838541033434652
-327.2,-1.28238905775076
-326.6,-1.6766109422492401
-326.0,-1.305577507598784
-325.5,-1.2591975683890577
-324.90000000000003,-1.3751458966565349
-324.3999999999999,-1.3751458966565349
-323.8,-1.2128176291793313
-323.20000000000005,-1.1432492401215806
-322.7,-1.6070425531914894
-322.1,-1.3983343465045592
-321.6,-1.6534224924012157
-321.0,-1.6766109422492401
-320.40000000000003,-0.42437082066869297
-319.8999999999999,-2.1867841945288755
-319.3,-1.4679057750759879
-318.8,-1.5374741641337388
-318.19999999999993,-1.7693708206686931
-317.6,-1.4447142857142856
-317.09999999999997,-1.3751458966565349
-316.49999999999994,-1.5142826747720366
-316.0,-1.2128176291793313
-315.4,-1.1664407294832828
-314.79999999999995,-1.2360091185410331
-314.3,-1.0968693009118542
-313.7,-1.2360091185410331
-313.2,-1.1432492401215806
-312.6,-1.4215258358662612
-311.99999999999994,-1.5838541033434652
-311.5,-0.9345440729483282
-310.9,-1.5374741641337388
-310.4,-1.28238905775076
-309.8,-1.5142826747720366
-309.2,-1.4215258358662612
-308.7,-1.954887537993921
-308.1,-0.9577325227963528
-307.6,-1.2360091185410331
-307.0,-1.3519574468085107
-306.4,-1.0273009118541032
-305.9,-1.2591975683890577
-305.3,-1.1200607902735562
-304.8,-1.0504924012158054
-304.2,-1.6070425531914894
-303.6,-1.2360091185410331
-303.1,-1.3751458966565349
-302.5,-1.3287659574468087
-302.0,-1.1200607902735562
-301.4,-1.28238905775076
-300.8,-1.305577507598784
-300.3,-1.2360091185410331
-299.7,-1.5374741641337388
-299.2,-1.5606626139817632
-298.6,-1.4447142857142856
-298.0,-1.3287659574468087
-297.5,-0.9809209726443767
-296.9,-1.305577507598784
-296.4,-1.1896291793313072
-295.8,-1.0736808510638298
-295.2,-1.1432492401215806
-294.7,-1.6070425531914894
-294.1,-1.2128176291793313
-293.6,-1.3519574468085107
-293.0,-1.3287659574468087
-292.4,-1.305577507598784
-291.9,-1.1896291793313072
-291.3,-1.491094224924012
-290.8,-1.6766109422492401
-290.2,-1.5838541033434652
-289.6,-1.3983343465045592
-289.1,-1.3287659574468087
-288.5,-1.28238905775076
-288.00000000000006,-0.7722158054711246
-287.4,-1.3751458966565349
-286.8,-1.0968693009118542
-286.30000000000007,-1.5838541033434652
-285.7,-1.6070425531914894
-285.20000000000005,-1.6070425531914894
-284.6000000000001,-1.3519574468085107
-284.0,-1.3287659574468087
-283.50000000000006,-1.0968693009118542
-282.90000000000003,-1.0968693009118542
-282.4,-1.0736808510638298
-281.80000000000007,-1.1896291793313072
-281.20000000000005,-1.3983343465045592
-280.7,-1.5142826747720366
-280.1000000000001,-1.3519574468085107
-279.59999999999997,-1.28238905775076
-279.0,-1.1200607902735562
-278.4,-1.004112462006079
-277.8999999999999,-1.1664407294832828
-277.3,-1.2128176291793313
-276.79999999999995,-1.3519574468085107
-276.2,-1.5606626139817632
-275.6,-1.5606626139817632
-275.09999999999997,-1.5374741641337388
-274.5,-1.2128176291793313
-274.0,-1.0968693009118542
-273.4,-1.0504924012158054
-272.8,-1.2591975683890577
-272.3,-1.3519574468085107
-271.7,-1.6070425531914894
-271.2,-1.3519574468085107
-270.6,-1.2360091185410331
-270.0,-1.2360091185410331
-269.5,-1.3287659574468087
-268.9,-1.1664407294832828
-268.4,-1.1664407294832828
-267.8,-1.6534224924012157
-267.2,-1.6766109422492401
-266.7,-1.6998024316109424
-266.1,-1.5606626139817632
-265.6,-1.4679057750759879
-265.0,-1.3519574468085107
-264.4,-1.305577507598784
-263.8999999999999,-1.6302310030395133
-263.3,-1.6302310030395133
-262.8,-1.2591975683890577
-262.19999999999993,-1.6766109422492401
-261.6,-1.6534224924012157
-261.1,-1.6766109422492401
-260.5,-1.6070425531914894
-260.0,-1.2360091185410331
-259.4,-1.5374741641337388
-258.8,-1.7229908814589667
-258.3,-1.5606626139817632
-257.7,-1.5142826747720366
-257.2,-1.6302310030395133
-256.6,-1.5142826747720366
-255.99999999999994,-1.3519574468085107
-255.5,-1.3287659574468087
-254.90000000000003,-1.2591975683890577
-254.40000000000003,-1.3983343465045592
-253.8,-1.5142826747720366
-253.2,-1.5374741641337388
-252.7,-1.5838541033434652
-252.10000000000002,-1.3519574468085107
-251.59999999999997,-1.2591975683890577
-251.0,-1.1896291793313072
-250.40000000000003,-1.1200607902735562
-249.89999999999998,-1.3287659574468087
-249.3,-1.5142826747720366
-248.8,-1.3519574468085107
-248.2,-1.838939209726444
-247.59999999999997,-1.4447142857142856
-247.10000000000002,-1.5838541033434652
-246.5,-1.2360091185410331
-246.00000000000003,-1.0273009118541032
-245.39999999999998,-1.6070425531914894
-244.8,-1.5606626139817632
-244.30000000000004,-1.3287659574468087
-243.7,-1.7693708206686931
-243.19999999999996,-1.7229908814589667
-242.6,-1.491094224924012
-242.00000000000003,-1.4215258358662612
-241.49999999999997,0.1785601823708207
-240.9,-2.9288541033434647
-240.4,-1.305577507598784
-239.8,-1.5374741641337388
-239.19999999999996,-1.6998024316109424
-238.69999999999996,-1.746179331306991
-238.10000000000002,-1.4215258358662612
-237.6,-1.5374741641337388
-236.99999999999997,-1.6766109422492401
-236.40000000000003,-1.5838541033434652
-235.9,-1.6070425531914894
-235.3,-1.7693708206686931
-234.8,-1.5374741641337388
-234.2,-1.7693708206686931
-233.60000000000002,-1.491094224924012
-233.09999999999997,-1.3751458966565349
-232.49999999999997,-1.7693708206686931
-232.0,-1.1664407294832828
-231.39999999999998,-1.7693708206686931
-230.79999999999998,-1.5142826747720366
-230.3,-0.8185957446808511
-229.7,-2.9056626139817627
-229.20000000000002,-1.6070425531914894
-228.59999999999997,-1.6302310030395133
-228.0,-1.6070425531914894
-227.50000000000003,-1.3287659574468087
-226.89999999999998,-1.491094224924012
-226.4,-1.6998024316109424
-225.8,-1.6070425531914894
-225.2,-1.7229908814589667
-224.69999999999996,-1.8157507598784193
-224.1,-1.6302310030395133
-223.60000000000002,-1.7693708206686931
-223.00000000000003,-1.6070425531914894
-222.4,-1.3519574468085107
-221.9,-1.3287659574468087
-221.30000000000004,-1.7925592705167173
-220.8,-1.5838541033434652
-220.2,-1.838939209726444
-219.6,-1.9085075987841946
-219.10000000000002,-0.8185957446808511
-218.5,-2.673765957446808
-217.99999999999997,-1.4447142857142856
-217.40000000000003,-1.7925592705167173
-216.79999999999998,-1.6534224924012157
-216.29999999999998,-1.8157507598784193
-215.7,-2.1867841945288755
-215.2,-1.7229908814589667
-214.60000000000002,-1.838939209726444
-214.0,-1.6302310030395133
-213.5,-1.1896291793313072
-212.90000000000003,-1.5838541033434652
-212.39999999999998,-1.6534224924012157
-211.8,-1.6998024316109424
-211.2,-1.6302310030395133
-210.7,-1.746179331306991
-210.1,-1.5374741641337388
-209.6,-1.5374741641337388
-209.0,-1.7229908814589667
-208.4,-1.4447142857142856
-207.9,-1.6302310030395133
-207.3,-1.3519574468085107
-206.80000000000004,-1.4447142857142856
-206.2,-1.7693708206686931
-205.6,-1.9085075987841946
-205.1,-1.4447142857142856
-204.5,-1.4447142857142856
-204.0,-1.1664407294832828
-203.4,-1.2591975683890577
-202.8,-1.2360091185410331
-202.29999999999998,-1.4215258358662612
-201.69999999999996,-1.4679057750759879
-201.2,-1.3519574468085107
-200.6,-1.3519574468085107
-199.99999999999997,-1.6302310030395133
-199.5,-1.28238905775076
-198.9,-1.4679057750759879
-198.4,-1.3751458966565349
-197.80000000000004,-1.4447142857142856
-197.2,-1.5142826747720366
-196.7,-1.3751458966565349
-196.1,-1.7229908814589667
-195.6,-1.0273009118541032
-195.0,-1.5142826747720366
-194.4,-1.1664407294832828
-193.9,-1.2591975683890577
-193.3,-1.3751458966565349
-192.8,-1.4447142857142856
-192.20000000000002,-1.6998024316109424
-191.6,-1.0504924012158054
-191.1,-1.4679057750759879
-190.5,-1.5142826747720366
-189.99999999999997,-1.0736808510638298
-189.40000000000003,-1.491094224924012
-188.8,-1.491094224924012
-188.29999999999998,-1.3287659574468087
-187.7,-1.5142826747720366
-187.2,-1.3519574468085107
-186.59999999999997,-1.3519574468085107
-186.00000000000003,-1.3287659574468087
-185.5,-1.3983343465045592
-184.9,-1.3519574468085107
-184.4,-1.1200607902735562
-183.8,-1.4215258358662612
-183.2,-1.6766109422492401
-182.7,-1.746179331306991
-182.1,-1.3751458966565349
-181.6,-1.6534224924012157
-181.0,-1.3287659574468087
-180.4,-0.9809209726443767
-179.9,-1.746179331306991
-179.3,-1.5374741641337388
-178.8,-1.3751458966565349
-178.2,-1.7693708206686931
-177.6,-1.1664407294832828
-177.1,-1.3287659574468087
-176.49999999999997,-1.28238905775076
-176.0,-1.1200607902735562
-175.4,-1.2360091185410331
-174.79999999999998,-1.1896291793313072
-174.3,-1.2128176291793313
-173.7,-2.0244559270516724
-173.20000000000002,-0.8185957446808511
-172.6,-1.2360091185410331
-172.0,-1.28238905775076
-171.50000000000003,-0.9113525835866261
-170.9,-1.4215258358662612
-170.4,-1.1664407294832828
-169.80000000000004,-1.4215258358662612
-169.2,-1.4215258358662612
-168.7,-1.3751458966565349
-168.1,-1.3287659574468087
-167.6,-1.1664407294832828
-167.0,-1.2591975683890577
-166.4,-0.8649726443768996
-165.89999999999998,-1.3287659574468087
-165.3,-1.3751458966565349
-164.8,-1.2360091185410331
-164.20000000000002,-1.491094224924012
-163.6,-1.28238905775076
-163.1,-1.5142826747720366
-162.5,-1.305577507598784
