Time/us,Voltage/V
-536.0999999999999,-0.00178143
-535.4999999999999,-0.00168988
-534.9,-0.0019035
-534.4,-0.00158307
-533.8,-0.00167462
-533.2999999999998,-0.00193402
-532.7,-0.00168988
-532.1,-0.0016441
-531.6,-0.00153729
-531.0,-0.00170514
-530.4999999999999,-0.001461
-529.8999999999999,-0.00182721
-529.3,-0.00185773
-528.8,-0.00185773
-528.2,-0.00161359
-527.6999999999999,-0.00158307
-527.0999999999999,-0.00155255
-526.4999999999999,-0.00161359
-526.0,-0.00158307
-525.4,-0.00149152
-524.9,-0.00173566
-524.3,-0.00167462
-523.6999999999999,-0.00167462
-523.2,-0.00173566
-522.6,-0.001461
-522.1,-0.00150677
-521.5,-0.0016441
-520.9,-0.00173566
-520.4,-0.00170514
-519.8,-0.00179669
-519.3,-0.00175092
-518.7,-0.0016441
-518.1,-0.00149152
-517.6,-0.00156781
-517.0,-0.00184247
-516.5,-0.00150677
-515.9,-0.00161359
-515.3,-0.00167462
-514.8,-0.00149152
-514.2,-0.00159833
-513.7,-0.0016441
-513.1,-0.00165936
-512.5,-0.00155255
-512.0,-0.00165936
-511.4,-0.00178143
-510.9,-0.00176617
-510.29999999999995,-0.00170514
-509.70000000000005,-0.00185773
-509.20000000000005,-0.00181195
-508.6,-0.0017204
-508.1,-0.00181195
-507.5,-0.00173566
-506.9,-0.00173566
-506.40000000000003,-0.00184247
-505.8,-0.00184247
-505.29999999999995,-0.0017204
-504.69999999999993,-0.00162885
-504.1,-0.00176617
-503.6000000000001,-0.00161359
-503.00000000000006,-0.0017204
-502.5,-0.00165936
-501.9,-0.0016441
-501.29999999999995,-0.00150677
-500.8,-0.0016441
-500.2,-0.00168988
-499.70000000000005,-0.0016441
-499.1,-0.00184247
-498.5,-0.00165936
-497.99999999999994,-0.00161359
-497.3999999999999,-0.00161359
-496.9,-0.00191876
-496.29999999999995,-0.00181195
-495.69999999999993,-0.00181195
-495.2,-0.00185773
-494.6000000000001,-0.00178143
-494.1,-0.0016441
-493.5,-0.00156781
-492.9,-0.00165936
-492.3999999999999,-0.0017204
-491.8,-0.00161359
-491.30000000000007,-0.001461
-490.70000000000005,-0.00156781
-490.1,-0.00156781
-489.59999999999997,-0.0016441
-488.99999999999994,-0.00161359
-488.5,-0.00149152
-487.9,-0.00167462
-487.30000000000007,-0.0016441
-486.8,-0.00144574
-486.2,-0.00143048
-485.70000000000005,-0.00167462
-485.1,-0.00147626
-484.5,-0.00149152
-484.0,-0.00150677
-483.4,-0.00147626
-482.9,-0.00165936
-482.30000000000007,-0.00167462
-481.70000000000005,-0.00161359
-481.20000000000005,-0.00153729
-480.6,-0.0016441
-480.1,-0.0016441
-479.5,-0.00156781
-478.9,-0.00181195
-478.4,-0.00143048
-477.80000000000007,-0.0016441
-477.3,-0.0017204
-476.7,-0.00176617
-476.1,-0.00159833
-475.6,-0.00159833
-475.0,-0.00165936
-474.50000000000006,-0.00182721
-473.90000000000003,-0.00175092
-473.29999999999995,-0.00158307
-472.8,-0.00159833
-472.2,-0.00176617
-471.7,-0.00159833
-471.1000000000001,-0.00170514
-470.5,-0.00165936
-470.00000000000006,-0.00156781
-469.40000000000003,-0.00143048
-468.9,-0.00158307
-468.3,-0.00162885
-467.7,-0.0017204
-467.2,-0.00182721
-466.6000000000001,-0.00162885
-466.1,-0.00161359
-465.5,-0.00162885
-464.90000000000003,-0.00165936
-464.4,-0.00167462
-463.8,-0.00152203
-463.3,-0.00158307
-462.69999999999993,-0.00161359
-462.1000000000001,-0.00159833
-461.6,-0.00167462
-461.0,-0.0016441
-460.49999999999994,-0.00167462
-459.8999999999999,-0.00165936
-459.3,-0.00165936
-458.8,-0.00170514
-458.2,-0.00167462
-457.7,-0.00173566
