Decimal Number     Rwb in ohms                  Lower limit                              Upper Limit
0                  130                          119.6                                    140.4
1                  520.625                      478.975                                  562.275
2                  911.25                       838.35                                   984.15
3                  1301.875                     1197.725                                 1406.025
4                  1692.5                       1557.1                                   1827.9
5                  2083.125                     1916.475                                 2249.775
6                  2473.75                      2275.85                                  2671.65
7                  2864.375                     2635.225                                 3093.525
8                  3255                         2994.6                                   3515.4
9                  3645.625                     3353.975                                 3937.275
10                 4036.25                      3713.35                                  4359.15
11                 4426.875                     4072.725                                 4781.025
12                 4817.5                       4432.1                                   5202.9
13                 5208.125                     4791.475                                 5624.775
14                 5598.75                      5150.85                                  6046.65
15                 5989.375                     5510.225                                 6468.525
16                 6380                         5869.6                                   6890.4
17                 6770.625                     6228.975                                 7312.275
18                 7161.25                      6588.35                                  7734.15
19                 7551.875                     6947.725                                 8156.025
20                 7942.5                       7307.1                                   8577.9
21                 8333.125                     7666.475                                 8999.775
22                 8723.75                      8025.85                                  9421.65
23                 9114.375                     8385.225                                 9843.525
24                 9505                         8744.6                                   10265.4
25                 9895.625                     9103.975                                 10687.275
26                 10286.25                     9463.35                                  11109.15
27                 10676.875                    9822.725                                 11531.025
28                 11067.5                      10182.1                                  11952.9
29                 11458.125                    10541.475                                12374.775
30                 11848.75                     10900.85                                 12796.65
31                 12239.375                    11260.225                                13218.525
32                 12630                        11619.6                                  13640.4
33                 13020.625                    11978.975                                14062.275
34                 13411.25                     12338.35                                 14484.15
35                 13801.875                    12697.725                                14906.025
36                 14192.5                      13057.1                                  15327.9
37                 14583.125                    13416.475                                15749.775
38                 14973.75                     13775.85                                 16171.65
39                 15364.375                    14135.225                                16593.525
40                 15755                        14494.6                                  17015.4
41                 16145.625                    14853.975                                17437.275
42                 16536.25                     15213.35                                 17859.15
43                 16926.875                    15572.725                                18281.025
44                 17317.5                      15932.1                                  18702.9
45                 17708.125                    16291.475                                19124.775
46                 18098.75                     16650.85                                 19546.65
47                 18489.375                    17010.225                                19968.525
48                 18880                        17369.6                                  20390.4
49                 19270.625                    17728.975                                20812.275
50                 19661.25                     18088.35                                 21234.15
51                 20051.875                    18447.725                                21656.025
52                 20442.5                      18807.1                                  22077.9
53                 20833.125                    19166.475                                22499.775
54                 21223.75                     19525.85                                 22921.65
